Freezer Test
171,170.0,-8.5,-16.75
172,171.0,-8.5625,-16.8125
173,172.0,-8.625,-16.8125
174,173.0,-8.75,-16.875
175,174.0,-8.875,-16.9375
176,175.0,-8.875,-17.0
177,176.0,-8.9375,-17.0625
178,177.0,-9.0,-17.0
179,178.0,-9.0625,-17.0625
180,179.0,-9.125,-17.0625
181,180.0,-9.3125,-17.1875
182,181.0,-9.3125,-17.25
183,182.0,-9.4375,-17.25
184,183.0,-9.4375,-17.375
185,184.0,-9.5,-17.3125
186,185.0,-9.625,-17.375
187,186.0,-9.75,-17.5
188,187.0,-9.8125,-17.5625
189,188.0,-9.8125,-17.5
190,189.0,-9.8125,-17.625
191,190.0,-9.9375,-17.625
192,191.0,-10.0625,-17.6875
193,192.0,-10.0625,-17.75
194,193.0,-10.125,-17.8125
195,194.0,-10.25,-17.875
196,195.0,-10.375,-17.875
197,196.0,-10.375,-17.875
198,197.0,-10.375,-17.875
199,198.0,-10.4375,-17.9375
200,199.0,-10.5,-17.9375
201,200.0,-10.5625,-18.0
202,201.0,-10.5625,-18.125
203,202.0,-10.8125,-18.125
204,203.0,-10.875,-18.1875
205,204.0,-10.8125,-18.1875
206,205.0,-10.875,-18.25
207,206.0,-10.9375,-18.3125
208,207.0,-11.0625,-18.25
209,208.0,-11.0625,-18.375
210,209.0,-11.125,-18.3125
211,210.0,-11.1875,-18.3125
212,211.0,-11.3125,-18.4375
213,212.0,-11.3125,-18.4375
214,213.0,-11.375,-18.5
215,214.0,-11.4375,-18.5625
216,215.0,-11.5625,-18.5625
217,216.0,-11.625,-18.5625
218,217.0,-11.625,-18.625
219,218.0,-11.6875,-18.6875
220,219.0,-11.75,-18.6875
221,220.0,-11.8125,-18.75
222,221.0,-11.875,-18.8125
223,222.0,-11.9375,-18.8125
224,223.0,-11.9375,-18.75
225,224.0,-12.0,-18.8125
226,225.0,-12.1875,-18.875
227,226.0,-12.1875,-18.875
228,227.0,-12.3125,-18.9375
229,228.0,-12.25,-18.875
230,229.0,-12.375,-18.9375
231,230.0,-12.375,-19.0
232,231.0,-12.4375,-19.0625
233,232.0,-12.5,-19.0625
234,233.0,-12.5625,-19.0
235,234.0,-12.625,-19.0625
236,235.0,-12.75,-19.125
237,236.0,-12.75,-19.1875
238,237.0,-12.8125,-19.1875
239,238.0,-12.8125,-19.1875
240,239.0,-12.875,-19.1875
241,240.0,-12.9375,-19.25
242,241.0,-13.0,-19.25
243,242.0,-13.0,-19.25
244,243.0,-13.125,-19.3125
245,244.0,-13.125,-19.375
246,245.0,-13.1875,-19.3125
247,246.0,-13.3125,-19.375
248,247.0,-13.3125,-19.5
249,248.0,-13.3125,-19.5
